model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_grid_1_AutoML_1_20260725_95621_model_31,150.90713243770256,22772.962620570303,118.00469711031106,0.159015589240333,22772.962620570303
GBM_grid_1_AutoML_1_20260725_95621_model_28,150.9101692738025,22773.87919024772,117.92438759714982,0.1587067274280252,22773.87919024772
GBM_3_AutoML_1_20260725_95621,150.9916810440671,22798.48774451329,118.08745938576152,0.1588012382109938,22798.48774451329
StackedEnsemble_BestOfFamily_1_AutoML_1_20260725_95621,151.01213944763552,22804.66626055212,117.95796577453456,0.1585889385888187,22804.66626055212
GBM_grid_1_AutoML_1_20260725_95621_model_6,151.05302703001976,22817.016974931885,118.0283485320202,0.1587355727074741,22817.016974931885
GBM_1_AutoML_1_20260725_95621,151.08783249669085,22827.533128548115,118.0453027043314,0.1587458231029937,22827.533128548115
GBM_grid_1_AutoML_1_20260725_95621_model_35,151.0882100450773,22827.6472146254,118.15073080428851,0.1586368634768958,22827.6472146254
GBM_grid_1_AutoML_1_20260725_95621_model_37,151.1089899964217,22833.92685773868,118.07570351456653,0.1587404009479136,22833.92685773868
GBM_grid_1_AutoML_1_20260725_95621_model_13,151.19728624802642,22860.619368767635,118.09391339656796,0.1588874184177223,22860.619368767635
GBM_grid_1_AutoML_1_20260725_95621_model_26,151.33657653440147,22902.759397152757,118.33846421984812,0.1591232198515867,22902.759397152757
GBM_grid_1_AutoML_1_20260725_95621_model_18,151.3881127654069,22918.36068667156,118.40023639806816,0.1592373464729056,22918.36068667156
GBM_grid_1_AutoML_1_20260725_95621_model_44,151.46606862400463,22941.969944411685,118.62874664884592,0.159297545375001,22941.969944411685
GBM_grid_1_AutoML_1_20260725_95621_model_39,151.61711567454375,22987.74976546798,118.48639525871654,0.1593779170995511,22987.74976546798
GBM_grid_1_AutoML_1_20260725_95621_model_5,151.64692386546128,22996.78951785701,118.66519820129926,0.1597125582531968,22996.78951785701
GBM_grid_1_AutoML_1_20260725_95621_model_43,151.68677905478185,23008.878940014205,118.76316580148726,0.1596222528410214,23008.878940014205
GBM_grid_1_AutoML_1_20260725_95621_model_27,151.78278310045798,23038.01324572067,118.61441648678364,0.1593082081408394,23038.01324572067
GBM_grid_1_AutoML_1_20260725_95621_model_40,151.87618714686215,23066.376222268696,118.87805685826405,0.1598641845123791,23066.376222268696
GBM_grid_1_AutoML_1_20260725_95621_model_38,151.9059927794924,23075.4306423232,118.77685805768866,0.1595199425974078,23075.4306423232
GBM_grid_1_AutoML_1_20260725_95621_model_21,151.93694660246376,23084.835742879925,118.96005892636984,0.1599449805922367,23084.835742879925
GBM_grid_1_AutoML_1_20260725_95621_model_16,151.98184115156278,23098.480039818856,118.93038935163244,0.1599500551741768,23098.480039818856
GBM_grid_1_AutoML_1_20260725_95621_model_45,151.98655891021198,23099.91408936734,118.8434104426704,0.1597510461667825,23099.91408936734
